name;vertices;edges;density;cost_0.1;size_0.1;time_0.1;cost_1;size_1;time_1;cost_0;size_0;time_0
C2000.5.wcol;2000;999836;499,918;135,2;12,8;0,0159639;118;13;0,0136995;133;9;0,0957711
C2000.9.wcol;2000;1799532;899,766;44,8;4,6;0,0072592;64;5;0,0076033;53;4;0,0644465
DSJC1000.9.wcol;1000;449449;449,449;44,2;4;0,00244908;53;5;0,00163352;31;4;0,0140826
DSJC125.1gb.wcol;125;736;5,888;380,6;30,8;0,00028652;367;32;0,0002323;359;30;0,0003055
DSJC125.5gb.wcol;125;3891;31,128;96,2;8,4;0,00020868;87;9;9,344e-05;95;7;0,00028794
flat1000_76_0.wcol;1000;246708;246,708;135,8;12;0,00401728;158;13;0,00355296;99;8;0,0213992
GEOM100a.wcol;100;992;9,92;73,8;10,6;0,000194;60;10;9,132e-05;75;9;0,00021488
GEOM70b.wcol;70;488;6,97143;27;10;9,646e-05;28;11;4,286e-05;27;10;9,656e-05
latin_square_10.wcol;900;307350;341,5;131,8;10;0,00281366;129;10;0,0019205;80;5;0,01344
le450_25b.wcol;450;8263;18,3622;812;73,6;0,0021568;788,4;74,2;0,00102422;802;75;0,00227236
R100_9gb.wcol;100;4438;44,38;62,4;3,8;8,01e-05;66;4;4,692e-05;46;4;0,0001558
wap04a.wcol;5231;294902;56,3758;4664;337,8;0,180106;4598;338;0,104608;4729;333;0,282374
wap08a.wcol;1870;104176;55,7091;1849,8;146,2;0,0262197;1811;149;0,0151254;1923;146;0,0387226
